close,date,drawdown_60,rsi14,type,volume_ratio20
179930.0,20250909,,70.4,RSI_OVERBOUGHT,
179930.0,20250909,,,VOLUME_SPIKE_2X,3.28
179930.0,20250909,,,BREAKOUT_UP_20D,
183830.0,20250913,,72.77,RSI_OVERBOUGHT,
183830.0,20250913,,,VOLUME_SPIKE_2X,2.9
183830.0,20250913,,,BREAKOUT_UP_20D,
188440.0,20250914,,75.29,RSI_OVERBOUGHT,
188440.0,20250914,,,BREAKOUT_UP_20D,
187290.0,20250915,,73.47,RSI_OVERBOUGHT,
187290.0,20250915,,,VOLUME_SPIKE_2X,2.47
181770.0,20250916,,,GOLDEN_CROSS,
166780.0,20250921,,,VOLUME_SPIKE_2X,2.13
166780.0,20250921,-0.1707,,DRAWDOWN_15PCT_60D,
173130.0,20250923,,,VOLUME_SPIKE_2X,2.68
188940.0,20250929,,,BREAKOUT_UP_20D,
194250.0,20250930,,,VOLUME_SPIKE_2X,2.16
194250.0,20250930,,,BREAKOUT_UP_20D,
193680.0,20251001,,,VOLUME_SPIKE_2X,2.75
199490.0,20251004,,72.51,RSI_OVERBOUGHT,
199490.0,20251004,,,BREAKOUT_UP_20D,
205470.0,20251005,,75.44,RSI_OVERBOUGHT,
205470.0,20251005,,,BREAKOUT_UP_20D,
207600.0,20251006,,76.4,RSI_OVERBOUGHT,
207600.0,20251006,,,VOLUME_SPIKE_2X,3.16
207600.0,20251006,,,BREAKOUT_UP_20D,
209630.0,20251007,,77.31,RSI_OVERBOUGHT,
209630.0,20251007,,,VOLUME_SPIKE_2X,2.06
209630.0,20251007,,,BREAKOUT_UP_20D,
204630.0,20251008,,70.11,RSI_OVERBOUGHT,
208160.0,20251011,,72.09,RSI_OVERBOUGHT,
214130.0,20251012,,75.09,RSI_OVERBOUGHT,
214130.0,20251012,,,BREAKOUT_UP_20D,
219210.0,20251013,,77.32,RSI_OVERBOUGHT,
219210.0,20251013,,,VOLUME_SPIKE_2X,2.12
219210.0,20251013,,,BREAKOUT_UP_20D,
216770.0,20251014,,73.9,RSI_OVERBOUGHT,
217970.0,20251018,,70.7,RSI_OVERBOUGHT,
223430.0,20251019,,73.37,RSI_OVERBOUGHT,
223430.0,20251019,,,BREAKOUT_UP_20D,
222930.0,20251020,,72.72,RSI_OVERBOUGHT,
228630.0,20251021,,75.41,RSI_OVERBOUGHT,
228630.0,20251021,,,BREAKOUT_UP_20D,
234460.0,20251022,,77.82,RSI_OVERBOUGHT,
234460.0,20251022,,,BREAKOUT_UP_20D,
235070.0,20251025,,78.06,RSI_OVERBOUGHT,
235070.0,20251025,,,BREAKOUT_UP_20D,
238330.0,20251026,,79.36,RSI_OVERBOUGHT,
238330.0,20251026,,,BREAKOUT_UP_20D,
242850.0,20251027,,81.04,RSI_OVERBOUGHT,
242850.0,20251027,,,BREAKOUT_UP_20D,
247960.0,20251028,,82.74,RSI_OVERBOUGHT,
247960.0,20251028,,,BREAKOUT_UP_20D,
248490.0,20251029,,82.91,RSI_OVERBOUGHT,
248490.0,20251029,,,BREAKOUT_UP_20D,
249710.0,20251101,,83.32,RSI_OVERBOUGHT,
249710.0,20251101,,,BREAKOUT_UP_20D,
255660.0,20251102,,85.19,RSI_OVERBOUGHT,
255660.0,20251102,,,BREAKOUT_UP_20D,
262160.0,20251103,,86.92,RSI_OVERBOUGHT,
262160.0,20251103,,,BREAKOUT_UP_20D,
259860.0,20251104,,83.22,RSI_OVERBOUGHT,
256950.0,20251105,,78.66,RSI_OVERBOUGHT,
261360.0,20251108,,80.41,RSI_OVERBOUGHT,
254040.0,20251109,,70.13,RSI_OVERBOUGHT,
262410.0,20251122,,,BREAKOUT_UP_20D,
